City,St,Church,Pastor,Stat Year,Comm,Non Comm,Total,Prof Child,Prof Adult,Trans Letter,Reaffir-mation,Re-stored,Total,Death,Trans,Rem'v fr Roll,Discipl,Total,,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades *Included,Total Enrollment,Tithes & Offerings,"Special
Causes",Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,,Admini-stration,Disciple-ship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,"Ridge
Haven",Reformed University Ministries,PCA Office Building,Other,Total,Presbytery Operation,Christian Education,Home Missions,"Internat'l
Missions",Other Pres-bytery Min,Total,,Local Ministries,Mercy Ministires,"PCA Internat'l
Missions",PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total,TOTAL Benevolent Disbursements,Current Expenses,Building Fund,GRAND TOTAL: All Disbursements,"Benevol/
Grand Total",Per Capita Giving
Philadelphia,PA,Third Reformed Presbyterian Church,Casey Huckel,2022,85,31,116,,,,,,0,,,,,0,,,,,,29,,,,,,"$158,743 ",,,,"$158,743 ",,"$158,743 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$40,015 ",,,,,,"$40,015 ","$40,015 ","$110,184 ",,"$150,199 ",27%,"$1,868"
Centreville,MS,Thomson Memorial Presbyterian Church,Eric Alan Greene,2024,61,10,71,,,,,,0,1,1,,,2,,,,4,4,30,20,,24,,,"$346,385 ","$4,719 ",,$500 ,"$351,604 ","$14,023 ","$365,627 ",,$700 ,"$1,000","$1,300 ","$28,000 ",,$800 ,,"$2,600 ",,"$1,150 ","$35,550 ",,,,,,$800 ,,"$3,000 ",$419 ,,"$2,000 ","$90,542 ",,$700 ,"$96,661 ","$133,011 ","$313,588 ",,"$446,599 ",30%,"$5,764"
Grove,OK,Three Rivers Church (PCA),Spencer Murphy,2021,76,21,97,2,1,,1,,4,,,,,0,,2,2,2,2,27,21,37,70,,,"$210,000 ","$64,000 ",,,"$274,000 ",,"$274,000 ",,,,,,,,,,,,$0 ,"$3,800 ",,,,,"$3,800 ",,"$5,000 ","$9,000 ",,"$25,000 ",,,,"$39,000 ","$42,800 ","$228,000 ","$75,000 ","$345,800 ",12%,"$3,605"
Timonium,MD,Timonium Presbyterian Church,Nick Ganas,2023,198,25,223,0,0,0,3,0,3,1,6,0,0,7,,0,0,3,4,103,20,15,105,,,"$423,236 ",$0 ,"$75,000 ","$20,661 ","$518,897 ","$20,000 ","$538,897 ",,$276 ,$0,$0 ,$0 ,"$1,750 ",$250 ,$0 ,$0 ,$0 ,$0 ,"$2,276 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,"$1,000 ",,"$6,975 ","$25,797 ","$13,875 ","$1,200 ","$23,450 ",,,"$71,297 ","$74,573 ","$485,928 ",$0 ,"$560,501 ",13%,"$2,621"
Toccoa,GA,Toccoa Church Plant,,2024,1,0,1,0,0,1,0,0,1,0,0,0,0,0,,0,0,3,0,0,0,0,0,,,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
Richardson,TX,Town North Presbyterian Church,,2024,197,52,249,8,0,4,8,0,20,1,0,23,0,24,,1,3,4,4,105,103,75,135,,,"$927,829 ","$74,097 ",$0 ,"$9,850 ","$1,011,776 ","$29,428 ","$1,041,204 ",,"$1,728 ","$1,512","$5,616 ","$72,880 ","$2,160 ","$2,160 ",$864 ,"$18,452 ",,$0 ,"$105,372 ",,,,,,"$7,000 ",,"$5,100 ","$45,990 ",$0 ,$0 ,"$80,100 ",$0 ,$0 ,"$131,190 ","$243,562 ","$903,596 ",$0 ,"$1,147,158 ",21%,"$5,136"
Mill Creek,WA,Trinitas Presbyterian Church,Brant Bosserman,2024,145,,145,2,1,9,,,12,,15,,,15,,,3,5,5,43,,140,150,,,"$328,000 ","$1,200 ",,,"$329,200 ",,"$329,200 ",,$850 ,,,,,,,,,,$850 ,,,,,,$600 ,,,,"$14,500 ","$16,500 ","$1,500 ",,,"$32,500 ","$33,950 ","$290,000 ",,"$323,950 ",10%,"$2,270"
San Juan,PR,Trinity Church,,2024,100,,100,,,,,,0,,,,,0,,,,,,,,,,,,"$643,096 ","$94,771 ",,"$50,000 ","$787,867 ",,"$787,867 ",,"$2,122 ",,,,,,,,,,"$2,122 ",,,,,,$0 ,,,"$45,800 ",,"$62,000 ","$37,200 ",,"$2,100 ","$147,100 ","$149,222 ","$728,336 ","$514,900 ","$1,392,458 ",11%,"$7,879"
Winston-Salem,NC,Trinity Church,Derek Emerson Radney,2024,113,23,136,14,0,8,2,0,24,0,0,0,0,0,,2,6,2,7,44,20,87,122,,,"$277,945 ","$8,015 ","$6,220 ","$4,225 ","$296,405 ","$8,735 ","$305,140 ",,,,,,,,,"$2,000 ",,"$7,800 ","$9,800 ",,,,,,,,,,,,,,,$0 ,"$9,800 ",,,"$9,800 ",100%,"$2,623"
Mililani,HI,Trinity Church Central Oahu,JC Cunningham,2024,93,40,133,3,27,,,,30,,24,25,,49,,3,6,5,4,44,55,40,163,,,"$570,815 ","$8,976 ",,"$7,383 ","$587,174 ","$123,989 ","$711,163 ",,$500 ,,$500 ,,,,,,,,"$1,000 ",,,,,,"$1,000 ",,,,"$7,000 ","$13,350 ","$32,750 ",,,"$53,100 ","$55,100 ","$273,305 ","$171,189 ","$499,594 ",11%,"$6,314"
Richmond,KY,Trinity Church PCA,Curt Gardner,2023,21,3,24,,,,,,0,,,4,,4,,,,2,3,13,15,10,37,,,"$95,657 ",,,,"$95,657 ",,"$95,657 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,,$0 ,$0 ,"$98,091 ",,"$98,091 ",0%,"$4,555"
Bozeman,MT,Trinity Church PCA,"Bryan B. Clark, Jeff Hamling",2024,442,82,524,16,2,3,28,0,49,1,1,19,0,21,,11,10,6,5,210,168,176,463,,,"$1,675,492 ",$0 ,"$682,321 ",$0 ,"$2,357,813 ",$0 ,"$2,357,813 ",,"$6,423 ",$0,$0 ,$0 ,"$4,140 ",$0 ,$0 ,"$20,000 ",,$0 ,"$30,563 ",,,,,,$0 ,,"$9,293 ","$5,187 ","$49,000 ",$0 ,"$15,979 ",$0 ,$0 ,"$79,459 ","$110,022 ","$973,465 ","$2,075,258 ","$3,158,745 ",3%,"$5,334"
Hudsonville,MI,Trinity Church PCA,Jeremy Visser,2024,100,48,148,2,8,0,0,0,10,0,0,8,0,8,,3,2,5,5,58,55,0,150,,,"$392,968 ",$0 ,"$113,790 ",$0 ,"$506,758 ","$51,516 ","$558,274 ",,"$1,000 ",$0,$0 ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,,$0 ,"$6,000 ",,,,,,"$2,000 ",,"$15,000 ","$6,000 ","$5,000 ","$10,000 ","$15,000 ","$5,000 ","$4,000 ","$60,000 ","$68,000 ","$304,559 ",$0 ,"$372,559 ",18%,"$5,068"
Collierville,TN,Trinity Church PCA,Hunter Townsend Brewer,2024,86,18,104,,2,13,,,15,,,,,0,,,4,3,,36,,,89,,,"$541,870 ",,,,"$541,870 ",,"$541,870 ",,,,,,,,,,,,$0 ,"$1,100 ",,,,,"$1,100 ",,"$10,000 ","$2,000 ","$3,000 ",,"$5,500 ",,,"$20,500 ","$21,600 ","$444,189 ",,"$465,789 ",5%,"$6,301"
Seattle,WA,Trinity Church Seattle,David Richmon,2024,205,159,364,2,16,3,,0,21,0,3,13,0,16,,1,9,5,4,160,70,10,360,,,"$1,819,313 ","$19,822 ","$18,864 ",,"$1,857,999 ","$178,278 ","$2,036,277 ",,$300 ,,,,,,,,,,$300 ,,,,,,"$2,000 ",,"$49,019 ","$75,612 ","$3,600 ",,"$21,783 ","$5,000 ",,"$155,014 ","$157,314 ","$1,616,665 ","$17,122 ","$1,791,101 ",9%,"$9,063"
Sherwood,AR,Trinity Fellowship Church,Brad John DeVries,2024,55,24,79,,,,9,,9,,,,,0,,,1,3,0,24,20,10,59,,,"$186,183 ",$200 ,"$1,370 ",$200 ,"$187,953 ",,"$187,953 ",,,,$204 ,,$400 ,,,,,$204 ,$808 ,,,,,,$840 ,,,,"$17,600 ",,"$13,800 ",,,"$31,400 ","$33,048 ","$162,545 ",,"$195,593 ",17%,"$3,417"
Rogers,AR,Trinity Grace Church,Chris A. Miller,2024,360,98,458,17,47,,,,64,2,4,9,1,16,,3,12,7,8,143,,20,400,,,"$883,206 ","$3,300 ","$485,058 ",,"$1,371,564 ",,"$1,371,564 ",,,,,,,,,"$7,200 ",,,"$7,200 ",,,,,,,,"$1,200 ","$6,264 ","$55,642 ",,,,,"$63,106 ","$70,306 ","$792,219 ","$314,506 ","$1,177,031 ",6%,"$3,810"
San Antonio,TX,Trinity Grace Church,,2020,141,34,175,2,,5,3,,10,,,,,0,,0,0,,,51,,81,125,,,"$299,715 ",,,,"$299,715 ","$51,108 ","$350,823 ",,,,,,,,,"$16,200 ",,,"$16,200 ",,,,,,$0 ,,"$9,200 ",,,"$4,500 ",,,,"$13,700 ","$29,900 ",,,"$29,900 ",100%,"$2,126"
Morrisville,NC,Trinity Park Church,Adam Corey Jackson,2023,224,120,344,1,,15,,,16,,3,14,,17,,0,2,9,9,,,,209,,,"$732,974 ","$4,206 ",,,"$737,180 ",,"$737,180 ",,"$1,064 ",,,,,,,,,,"$1,064 ","$3,390 ",,,,,"$3,390 ",,"$19,956 ",$756 ,"$24,157 ",,,,,"$44,869 ","$49,323 ","$644,025 ",,"$693,348 ",7%,"$3,291"
Fort Worth,TX,Trinity Presbyterian,Brian Charles Davis,2024,450,133,583,15,6,36,10,,67,,9,3,,12,,9,18,5,7,217,100,396,536,,,"$1,189,724 ","$30,466 ","$1,065,824 ",,"$2,286,014 ","$150,544 ","$2,436,558 ",,"$2,869 ","$1,827","$6,786 ","$7,830 ","$2,349 ","$2,610 ","$1,044 ","$4,698 ",,,"$30,013 ",,,,,,"$6,148 ",,"$28,816 ","$14,130 ","$22,913 ","$51,858 ","$30,456 ",,,"$148,173 ","$184,334 ","$1,057,766 ","$1,115,824 ","$2,357,924 ",8%,"$5,080"
Crofton,MD,Trinity Presbyterian Church,,2024,158,27,185,10,1,4,,,15,,1,,,1,,2,7,6,8,67,60,30,136,,,"$467,875 ","$11,113 ","$22,118 ",,"$501,106 ","$2,571 ","$503,677 ",,,,,,,,,,,,$0 ,,,,,,$500 ,,,"$52,220 ","$26,600 ",,"$18,300 ",,,"$97,120 ","$97,620 ","$322,577 ",,"$420,197 ",23%,"$3,172"
Owasso,OK,Trinity Presbyterian Church,Blake A. Altman,2022,203,74,277,11,7,6,30,0,54,1,0,0,0,1,,1,11,,,,,,258,,,"$950,000 ",,"$5,000,000 ",,"$5,950,000 ",,"$5,950,000 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,,$0 ,$0 ,,,$0 ,0%,"$29,310"
Kirkwood,MO,Trinity Presbyterian Church,Christopher Alan Polski,2024,253,28,281,2,4,14,,,20,,7,,,7,,,2,12,16,116,,,222,,,"$8,404,910 ","$15,000 ","$200,000 ",,"$8,619,910 ",,"$8,619,910 ",,$275 ,,,,"$1,600 ",$275 ,,,,,"$2,150 ",,,,,,"$2,000 ",,,,"$75,000 ",,,"$1,500 ",,"$76,500 ","$80,650 ","$683,000 ","$71,000 ","$834,650 ",10%,"$34,071"
DeMotte,IN,Trinity Presbyterian Church,Stephan Van Eck,2024,20,,20,,,,,,0,3,,,,3,,,,,,,,,,,,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
Corinth,MS,Trinity Presbyterian Church,John Windham,2022,50,,50,,,,,,0,,,,,0,,,,,,3,,,,,,"$62,829 ",,,,"$62,829 ",,"$62,829 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$12,270 ",,,,,,"$12,270 ","$12,270 ",,,"$12,270 ",100%,"$1,257"
Richland,WA,Trinity Presbyterian Church,Andrew Perkins,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,"$100,096 ","$100,096 ",,$100 ,,,,,,,,,,$100 ,,,,,,$0 ,,,,,,,,,$0 ,$100 ,"$56,435 ",,"$56,535 ",0%,$0
Cedar Rapids,IA,Trinity Presbyterian Church,Isaac Ferrell,2022,45,,45,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Hinsdale,IL,Trinity Presbyterian Church,Geoff M. Ziegler,2024,118,50,168,11,7,,,,18,,,,,0,,,3,7,5,64,75,95,160,,,"$750,000 ",,,,"$750,000 ",,"$750,000 ",,,,,,,,,,,,$0 ,,,,,,"$3,700 ",,,,,,,,,$0 ,"$3,700 ",,,"$3,700 ",100%,"$6,356"
Boerne,TX,Trinity Presbyterian Church,Allen R. Taha,2024,271,55,326,4,,7,18,,29,5,2,5,,12,,5,3,5,4,146,69,128,231,,,"$1,305,279 ",,"$688,622 ",,"$1,993,901 ",,"$1,993,901 ",,,,,,,,,,,,$0 ,,,,,,"$16,600 ",,"$6,615 ","$13,794 ","$46,000 ","$7,400 ","$75,099 ",,"$6,800 ","$155,708 ","$172,308 ","$660,861 ","$29,780 ","$862,949 ",20%,"$7,358"
Cleveland,TN,Trinity Presbyterian Church,Philip Caines,2024,230,39,269,6,2,2,17,,27,,,23,,23,,4,1,12,8,90,188,145,227,,,"$522,332 ","$36,190 ","$110,187 ","$19,404 ","$688,113 ",,"$688,113 ",,"$1,050 ","$1,050","$3,900 ","$3,900 ","$2,260 ","$1,500 ",$600 ,"$2,100 ",,,"$16,360 ",,,,,,"$2,925 ",,"$4,800 ","$12,308 ","$2,950 ",$650 ,"$2,600 ",,,"$23,308 ","$42,593 ","$421,770 ","$170,187 ","$634,550 ",7%,"$2,992"
Norfolk,VA,Trinity Presbyterian Church,Leland Jackson Howell,2024,456,135,591,6,1,25,14,,46,,10,34,,44,,,10,4,6,201,135,310,370,,,"$1,461,049 ","$77,323 ","$2,950 ",,"$1,541,322 ",,"$1,541,322 ",,"$3,480 ",,"$2,851 ","$3,290 ",,,,"$1,970 ",,,"$11,591 ",,,,,,"$10,000 ",,"$58,874 ","$5,310 ","$21,804 ","$27,000 ","$71,014 ",,,"$184,002 ","$205,593 ","$1,286,224 ",,"$1,491,817 ",14%,"$3,380"
Lakeland,FL,Trinity Presbyterian Church,Tim W. Rice,2024,449,227,676,12,39,0,0,0,51,1,1,29,0,31,,2,14,14,5,411,0,403,612,,,"$2,440,276 ",$0 ,$0 ,$0 ,"$2,440,276 ","$105,546 ","$2,545,822 ",,"$4,905 ","$1,230","$10,660 ",$0 ,"$4,100 ","$2,460 ","$1,640 ","$6,820 ",,$0 ,"$31,815 ",,,,,,"$99,886 ",,"$142,889 ","$77,800 ","$18,600 ",$0 ,"$36,900 ","$5,200 ",$0 ,"$281,389 ","$413,090 ","$2,328,895 ",$0 ,"$2,741,985 ",15%,"$5,435"
Aledo,IL,Trinity Presbyterian Church,Daren S. Dietmeier,2024,141,45,186,0,1,0,0,0,1,8,0,0,0,8,,0,0,4,4,90,70,20,105,,,"$206,256 ","$57,331 ",$0 ,"$6,870 ","$270,457 ",,"$270,457 ",,$684 ,$321,"$2,910 ","$2,470 ",$617 ,$493 ,$308 ,"$2,469 ",,$0 ,"$10,272 ",,,,,,"$9,000 ",,$750 ,"$6,960 ","$33,290 ",$0 ,"$28,280 ",$0 ,"$2,960 ","$72,240 ","$91,512 ","$208,503 ",$0 ,"$300,015 ",31%,"$1,918"
Tuscaloosa,AL,Trinity Presbyterian Church,Richard Martin Vise Jr.,2024,582,144,726,14,2,95,,,111,4,13,,,17,,3,11,15,15,248,125,150,345,P,66,"$2,228,542 ","$11,527 ",,,"$2,240,069 ","$3,775 ","$2,243,844 ",,"$2,300 ",,"$1,000 ","$40,900 ",,,,"$82,291 ",,$500 ,"$126,991 ",,,,,,"$14,475 ",,"$27,206 ","$10,369 ",,,"$30,800 ",,,"$68,375 ","$209,841 ","$1,910,572 ","$50,604 ","$2,171,017 ",10%,"$3,849"
Mt. Kisco,NY,Trinity Presbyterian Church,Steven Magneson,1998,103,61,164,0,2,10,9,0,21,2,0,0,0,2,,0,10,5,5,59,100,,200,,,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
San Luis Obispo,CA,Trinity Presbyterian Church,Bryce A. Hales,2023,81,20,101,2,1,7,1,1,12,,2,4,,6,,2,2,2,2,46,7,20,95,,,"$345,267 ",,,,"$345,267 ","$1,709 ","$346,976 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$5,300 ","$13,183 ","$1,000 ","$4,250 ",,,"$23,733 ","$23,733 ","$321,758 ",,"$345,491 ",7%,"$4,263"
Murfreesboro,TN,Trinity Presbyterian Church,Mitchell Carter,2024,254,69,323,7,0,0,17,0,24,1,2,0,0,3,,0,10,6,7,120,,,281,,,"$647,927 ",,"$6,577 ",,"$654,504 ","$9,092 ","$663,596 ",,$200 ,,$100 ,$100 ,"$2,330 ",,,"$18,471 ",,,"$21,201 ",,,,,,"$4,000 ",,"$7,510 ","$5,790 ","$7,875 ",,"$5,975 ",,,"$27,150 ","$52,351 ","$525,617 ","$161,744 ","$739,712 ",7%,"$2,577"
Harrisburg,PA,Trinity Presbyterian Church,John Hayward,2024,265,73,338,5,5,10,5,0,25,2,,3,,5,,0,2,6,4,130,65,80,210,,,"$1,033,495 ",$0 ,$0 ,"$36,810 ","$1,070,305 ",$0 ,"$1,070,305 ",,"$1,654 ","$1,041","$6,370 ","$7,350 ","$1,656 ","$1,656 ",$0 ,"$4,410 ",,$0 ,"$24,137 ",,,,,,"$6,821 ",,"$14,820 ","$28,014 ","$35,658 ","$38,704 ","$21,180 ",$0 ,"$3,000 ","$141,376 ","$172,334 ","$932,832 ",$0 ,"$1,105,166 ",16%,"$4,039"
Plano,TX,Trinity Presbyterian Church,"Jacob Yohannan, Jeff Morrow",2024,201,61,262,0,1,2,10,0,13,1,6,7,1,15,,3,5,8,12,95,56,84,195,,,"$835,770 ","$90,624 ",$0 ,$0 ,"$926,394 ","$9,805 ","$936,199 ",,$673 ,$425,"$3,254 ","$3,473 ",$676 ,$676 ,$421 ,"$3,251 ",,$0 ,"$12,849 ",,,,,,"$6,000 ",,"$4,600 ","$40,910 ","$53,185 ",$0 ,"$32,363 ",$0 ,$0 ,"$131,058 ","$149,907 ","$757,815 ","$34,572 ","$942,294 ",16%,"$4,609"
Asheville,NC,Trinity Presbyterian Church,Robert Recio,2024,198,28,226,6,0,8,9,0,23,4,8,9,0,21,,0,3,11,3,112,80,,157,,,"$604,304 ","$88,237 ",$0 ,$0 ,"$692,541 ","$75,721 ","$768,262 ",,$339 ,$0,$0 ,"$17,350 ",$0 ,$0 ,$0 ,"$13,436 ",,$0 ,"$31,125 ",,,,,,$786 ,,$0 ,"$76,723 ","$2,960 ",$0 ,"$31,560 ",$0 ,$0 ,"$111,243 ","$143,154 ","$494,742 ","$33,195 ","$671,091 ",21%,"$3,498"
Opelika,AL,Trinity Presbyterian Church,Chris M. Duncan,2024,263,64,327,5,1,2,15,0,23,1,7,5,0,13,,1,8,8,7,136,145,110,240,KEMH,276,"$1,002,421 ",,"$1,500 ","$84,718 ","$1,088,639 ",$130 ,"$1,088,769 ",,"$1,200 ",,,,,,,"$12,200 ",,,"$13,400 ",,,,,,"$1,200 ",,"$8,400 ","$3,900 ","$13,900 ","$2,400 ","$15,600 ",,"$3,600 ","$47,800 ","$62,400 ","$901,553 ",,"$963,953 ",6%,"$4,139"
New Martinsville,WV,Trinity Presbyterian Church,Dennis Bills,2022,21,6,27,,,,,,0,1,,,,1,,,,3,0,11,0,,12,,,"$75,500 ",,,,"$75,500 ",,"$75,500 ",,$450 ,,,,,,,,,,$450 ,$600 ,,,,,$600 ,,,,,,$800 ,,,$800 ,"$1,850 ","$50,500 ",,"$52,350 ",4%,"$3,595"
Montgomery,AL,Trinity Presbyterian Church,Kurt Cooper,2024,977,168,"1,145",10,3,6,12,,31,8,35,72,,115,,,9,18,26,540,187,,434,P,70,"$4,006,393 ","$207,597 ","$52,950 ","$19,531 ","$4,286,471 ","$415,496 ","$4,701,967 ",,"$8,488 ","$7,427","$49,586 ","$150,002 ","$10,610 ","$10,610 ",,"$97,752 ",,,"$334,475 ",,,,,,"$63,500 ",,"$229,990 ","$79,011 ",,,"$417,364 ","$3,880 ","$129,923 ","$860,168 ","$1,258,143 ","$3,437,403 ","$436,822 ","$5,132,368 ",25%,"$4,387"
Charlottesville,VA,Trinity Presbyterian Church,Christopher Paul Colquitt,2024,"1,104",214,"1,318",30,2,25,69,0,126,0,24,0,0,24,,11,19,16,15,385,60,298,634,P,37,"$3,030,661 ","$164,312 ",,,"$3,194,973 ","$310,915 ","$3,505,888 ",,"$5,028 ","$1,056","$3,924 ","$4,529 ","$1,434 ","$1,509 ",$604 ,"$2,717 ",,,"$20,801 ",,,,,,"$38,000 ",,"$140,388 ","$269,807 ","$22,950 ","$25,000 ","$178,887 ",,,"$637,032 ","$695,833 ","$2,216,232 ","$126,667 ","$3,038,732 ",23%,"$2,894"
Statesboro,GA,Trinity Presbyterian Church,Jim McCarthy,2024,270,49,319,3,7,20,1,0,31,0,9,0,0,9,,5,2,8,11,120,125,50,295,PKEMH,202,"$810,686 ","$38,402 ",$0 ,"$116,362 ","$965,450 ","$39,257 ","$1,004,707 ",,"$1,000 ","$1,000","$1,000 ","$14,050 ","$2,600 ",$0 ,$0 ,"$10,200 ",,$0 ,"$29,850 ",,,,,,"$8,000 ",,$0 ,"$30,255 ","$30,540 ",$0 ,"$5,276 ","$5,892 ","$4,250 ","$76,213 ","$114,063 ","$707,838 ","$61,700 ","$883,601 ",13%,"$3,576"
Maryville,TN,Trinity Presbyterian Church,Jonathan Brooks,2022,41,,41,,,4,,,4,,,,,0,,,,3,5,20,12,,30,,,"$97,404 ","$5,719 ",$880 ,"$6,027 ","$110,030 ",,"$110,030 ",,$200 ,,,,,,,,,,$200 ,,,,,,$0 ,,,"$6,027 ","$2,090 ","$3,690 ",$823 ,,,"$12,630 ","$12,830 ","$81,049 ",,"$93,879 ",14%,"$2,684"
Chester,SC,Trinity Presbyterian Church,Richard John Wheeler,2024,47,11,58,0,1,0,0,0,1,1,5,0,0,6,,0,1,3,1,31,24,10,46,,,"$212,061 ",,$393 ,,"$212,454 ",,"$212,454 ",,$416 ,$364,"$1,352 ","$1,560 ",$520 ,,$208 ,$936 ,,,"$5,356 ",,,,,,"$2,000 ",,"$3,860 ",,"$3,600 ",,"$6,200 ",,,"$13,660 ","$21,016 ","$179,292 ",,"$200,308 ",10%,"$4,520"
Johnstown,PA,Trinity Presbyterian Church,Jared Havener,2021,68,40,108,,2,,1,,3,,3,1,,4,,,,4,3,39,40,15,78,,,"$190,153 ","$5,354 ",,,"$195,507 ",$541 ,"$196,048 ",,$350 ,$350,$350 ,"$16,950 ",,,,"$2,500 ",,,"$20,500 ","$1,100 ",$350 ,$500 ,,"$2,500 ","$4,450 ",,"$1,000 ",$512 ,,,,,$200 ,"$1,712 ","$26,662 ","$163,386 ",,"$190,048 ",14%,"$2,875"
Rochester,MN,Trinity Presbyterian Church,Chris Harper,2022,209,98,307,,7,4,4,,15,,18,3,,21,,3,4,5,10,,,,250,,,"$809,399 ",,"$60,450 ",,"$869,849 ",,"$869,849 ",,"$1,760 ","$1,540","$5,000 ","$4,000 ","$2,200 ","$3,000 ",$900 ,"$3,500 ",,"$1,700 ","$23,600 ","$1,100 ",,"$6,500 ",,,"$7,600 ",,"$18,100 ","$22,164 ","$27,000 ","$16,400 ","$20,640 ",,,"$104,304 ","$135,504 ","$591,109 ",,"$726,613 ",19%,"$4,162"
Kailua,HI,Trinity Presbyterian Church,,2015,68,26,94,0,0,7,4,6,17,0,15,16,0,31,,0,4,2,0,30,0,,70,PKEMH,362,"$301,293 ","$1,000 ",$0 ,"$19,500 ","$321,793 ","$2,920 ","$324,713 ",,$0 ,$0,$0 ,$0 ,"$1,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,100 ",$700 ,$0 ,$0 ,$0 ,$0 ,$700 ,,$0 ,"$1,654 ","$4,500 ","$4,076 ","$1,250 ",$0 ,$0 ,"$11,480 ","$13,280 ","$298,416 ",$0 ,"$311,696 ",4%,"$4,732"
Orangeburg,SC,Trinity Presbyterian Church,John Mark Patrick,2024,98,5,103,,,,,,0,2,6,,,8,,,,3,3,45,25,10,50,,,"$317,982 ","$60,568 ",,,"$378,550 ",,"$378,550 ",,$529 ,$529,"$2,668 ","$1,955 ",$679 ,$746 ,$302 ,$982 ,,,"$8,390 ",,,,,,"$5,000 ",,"$9,600 ","$5,514 ","$34,662 ","$12,371 ","$55,096 ",,,"$117,243 ","$130,633 ","$389,022 ",,"$519,655 ",25%,"$3,863"
Kearney,NE,Trinity Presbyterian Church,Chad Anderson,2024,115,7,122,0,0,0,7,0,7,2,0,4,0,6,,4,1,5,4,46,60,,90,,,"$229,018 ",$0 ,$0 ,$0 ,"$229,018 ",$0 ,"$229,018 ",,$141 ,$124,$460 ,$531 ,$177 ,$177 ,$71 ,$319 ,,$0 ,"$2,000 ",,,,,,"$1,900 ",,"$2,000 ","$10,215 ","$7,600 ",$0 ,"$5,840 ",$0 ,$0 ,"$25,655 ","$29,555 ","$207,360 ",$0 ,"$236,915 ",12%,"$1,991"
Covington,GA,Trinity Presbyterian Church,Robert S. Rienstra,2024,150,15,165,10,2,7,0,1,20,2,7,0,0,9,,1,4,7,6,59,71,42,149,,,"$462,932 ","$47,555 ","$6,605 ",$0 ,"$517,092 ",,"$517,092 ",,"$14,700 ",,,,,,,,,,"$14,700 ",,,,,,"$2,500 ",,"$11,400 ","$29,425 ","$11,900 ","$15,400 ","$8,400 ",,,"$76,525 ","$93,725 ","$403,590 ","$41,000 ","$538,315 ",17%,"$3,447"
Van Wyck,SC,Trinity Presbyterian Church,Chris Sewell,2024,70,15,85,,2,1,3,,6,,,,,0,,1,2,2,3,43,48,40,80,,,"$170,934 ",,,,"$170,934 ","$5,015 ","$175,949 ",,$600 ,,,,,,,,,,$600 ,,,,,,"$1,105 ",,$550 ,,,"$1,500 ","$16,950 ",,,"$19,000 ","$20,705 ","$98,340 ",,"$119,045 ",17%,"$2,442"
Providence,RI,Trinity Presbyterian Church,David A. Sherwood,2023,123,44,167,3,0,6,4,2,15,0,4,14,0,18,,0,1,5,5,81,30,30,100,,,"$301,382 ","$3,970 ",$200 ,,"$305,552 ",,"$305,552 ",,,,,,,,,"$27,100 ",,,"$27,100 ","$1,200 ","$1,282 ",,"$1,594 ",,"$4,076 ",,,,,,,,,$0 ,"$31,176 ","$308,569 ",,"$339,745 ",9%,"$2,484"
St. Albans,VT,Trinity Presbyterian Church,Seth Anderson,2024,81,37,118,2,2,0,3,0,7,1,0,0,0,1,,2,2,5,0,48,38,30,77,,,"$256,525 ",$125 ,"$5,441 ",$0 ,"$262,091 ",$0 ,"$262,091 ",,$400 ,$400,$400 ,$400 ,$400 ,$400 ,$400 ,$400 ,,$400 ,"$3,600 ",,,,,,"$8,300 ",,"$11,000 ",,"$9,000 ","$3,000 ","$30,200 ",$0 ,$0 ,"$53,200 ","$65,100 ","$151,453 ","$5,441 ","$221,994 ",29%,"$3,236"
