City,St,Church,Pastor,Stat Year,Comm,Non Comm,Total,Prof Child,Prof Adult,Trans Letter,Reaffir-mation,Re-stored,Total,Death,Trans,Rem'v fr Roll,Discipl,Total,,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades *Included,Total Enrollment,Tithes & Offerings,"Special
Causes",Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,,Admini-stration,Disciple-ship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,"Ridge
Haven",Reformed University Ministries,PCA Office Building,Other,Total,Presbytery Operation,Christian Education,Home Missions,"Internat'l
Missions",Other Pres-bytery Min,Total,,Local Ministries,Mercy Ministires,"PCA Internat'l
Missions",PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total,TOTAL Benevolent Disbursements,Current Expenses,Building Fund,GRAND TOTAL: All Disbursements,"Benevol/
Grand Total",Per Capita Giving
Kingsport,TN,Arcadia Presbyterian Church,,2024,12,0,12,,,,,,0,,,,,0,,,,1,,,12,,15,,,"$43,088 ",,,"$3,212 ","$46,300 ","$2,135 ","$48,435 ",,$120 ,,$360 ,"$1,260 ",,,,$60 ,,,"$1,800 ",,,,,,$250 ,,$600 ,"$1,200 ",,,"$3,220 ",,,"$5,020 ","$7,070 ","$23,876 ",,"$30,946 ",23%,"$3,858"
Arden,NC,Arden Presbyterian Church,Wesley Strebeck,2024,410,40,450,4,2,2,,,8,11,2,,,13,,2,4,9,6,202,100,50,257,PK,73,"$1,275,484 ","$103,620 ","$27,012 ",,"$1,406,116 ","$39,293 ","$1,445,409 ",,"$2,500 ",$650,"$1,497 ",,,,,"$29,500 ",,"$2,665 ","$36,812 ","$1,800 ",,,,,"$1,800 ",,"$28,000 ","$42,241 ","$126,846 ","$8,600 ","$62,600 ",,,"$268,287 ","$306,899 ","$1,011,740 ","$245,902 ","$1,564,541 ",20%,"$3,430"
Cutler Bay,FL,Areumdown Presbyterian Church,,2019,34,28,62,,2,,,,2,,,5,,5,,,,,1,,20,,32,,,"$83,860 ",,,,"$83,860 ",,"$83,860 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,,$0 ,$0 ,"$87,620 ",,"$87,620 ",0%,"$2,466"
Oceanside,CA,Arise Presbyterian Church,Brad Jones,2023,44,10,54,0,1,0,5,0,6,0,0,0,0,0,,1,3,2,0,20,25,20,50,,,"$113,356 ",,,"$114,893 ","$228,249 ","$16,680 ","$244,929 ",,,,,,,,,,,,$0 ,,,$450 ,,,$450 ,,,$136 ,"$1,050 ",,,,,"$1,186 ","$1,636 ","$194,177 ",,"$195,813 ",1%,"$5,187"
Carmichael,CA,Ark Mission Church,Wonsik Ha,2024,215,2,217,1,0,0,,,1,3,10,3,,16,,0,1,3,4,108,30,,120,,,"$614,910 ","$65,118 ","($45,020)",,"$635,008 ",,"$635,008 ",,"$1,970 ",,"$1,200 ",,,,,,,,"$3,170 ","$5,627 ",,,,,"$5,627 ",,,"$23,538 ",,,,,,"$23,538 ","$32,335 ","$647,693 ",,"$680,028 ",5%,"$2,954"
Palisades Park,NJ,Ark Presbyterian Church,Bumjoon Oh,2022,50,,50,,,,,,0,,,,,0,,,,,,30,,,,,,"$72,600 ",,,,"$72,600 ",,"$72,600 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,$490 ,,,,,,$490 ,$490 ,,,$490 ,100%,"$1,452"
Forest Hills,NY,Ascension Church,Michael Kytka,2022,22,30,52,,,,,,0,,,,,0,,,,,,,,,,,,"$242,860 ",,,,"$242,860 ",,"$242,860 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$244,129 ",,,,,,"$244,129 ","$244,129 ","$323,480 ",,"$567,609 ",43%,"$11,039"
Phoenix,AZ,Ascension Church of Phoenix,Gray A. Ewing,2022,100,19,119,,,,,,0,,,,,0,,,,,,,,,,,,"$362,506 ",,,,"$362,506 ",,"$362,506 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,,$0 ,$0 ,"$385,400 ",,"$385,400 ",0%,"$3,625"
Lynnwood,WA,Ascension Presbyterian Church,Nathan Hitchcock,2024,119,19,138,,,4,16,,20,,5,2,,7,,,,6,3,56,65,40,107,,,"$431,847 ","$23,800 ",,,"$455,647 ","$1,119 ","$456,766 ",,,,,"$3,600 ",,,,"$10,800 ",,,"$14,400 ",,,,,,"$4,950 ",,,"$13,950 ",,,"$26,840 ",,"$4,875 ","$45,665 ","$65,015 ","$242,951 ",,"$307,966 ",21%,"$3,829"
Hillsboro,OR,Ascension Presbyterian Church,Eric Costa,2024,54,8,62,2,1,0,2,0,5,0,0,0,0,0,,1,1,2,4,22,,,60,,,"$214,165 ","$4,500 ",,,"$218,665 ",$19 ,"$218,684 ",,$600 ,,,,,,,,,,$600 ,,,,,,$600 ,,$900 ,"$4,582 ",,$963 ,"$3,600 ",,,"$10,045 ","$11,245 ","$171,907 ",,"$183,152 ",6%,"$4,049"
Astoria,NY,Astoria Community Church,James Lee Fredere,2022,125,,125,,1,2,13,,16,,,3,,3,,14,,4,1,83,33,50,85,,,"$389,541 ","$29,664 ",,,"$419,205 ",,"$419,205 ",,,,,,,,,,,,$0 ,$500 ,,,,,$500 ,,,"$35,000 ","$6,000 ",,"$10,200 ",,"$9,626 ","$60,826 ","$61,326 ","$357,879 ",,"$419,205 ",15%,"$3,354"
Stone Mountain,GA,Atlanta Matupi Community Church,Aung Lai Matu,2022,10,,10,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Norcross,GA,Atlanta Siloam Church,Wonyul Park,2022,276,0,276,15,7,5,2,0,29,3,0,0,0,3,,22,0,5,8,120,50,200,250,,,"$1,100,000 ",,,,"$1,100,000 ",,"$1,100,000 ",,,,,,,,,,,,$0 ,"$2,000 ",,,,,"$2,000 ",,,,,,,,,$0 ,"$2,000 ",,,"$2,000 ",100%,"$3,986"
Atlanta,GA,Atlanta Westside Presbyterian Church,Walter H. Henegar,2024,802,262,"1,064",8,5,57,94,0,164,0,17,52,0,69,,5,32,21,0,465,205,235,711,,,"$3,971,186 ","$109,555 ","$132,900 ",$0 ,"$4,213,641 ","$70,196 ","$4,283,837 ",,"$6,000 ","$5,000","$23,000 ","$26,900 ","$7,000 ","$7,000 ","$3,000 ","$29,420 ",,$0 ,"$107,320 ",,,,,,"$3,600 ",,"$59,952 ","$23,581 ",$0 ,"$22,965 ","$196,237 ",$0 ,"$1,260 ","$303,995 ","$414,915 ","$3,352,359 ","$172,916 ","$3,940,190 ",11%,"$5,254"
Venice,FL,Auburn Road Presbyterian Church,Dwight L. Dolby,2024,68,6,74,0,3,5,2,0,10,1,1,2,0,4,,1,1,4,6,46,16,10,52,,16,"$338,582 ",,,,"$338,582 ",,"$338,582 ",,$996 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,896 ",,$0 ,"$2,892 ",,,,,,"$2,400 ",,"$6,126 ","$10,000 ","$6,342 ",$0 ,"$3,630 ",$0 ,"$11,000 ","$37,098 ","$42,390 ","$259,646 ","$5,000 ","$307,036 ",14%,"$4,979"
Augusta,GA,Augusta Hope Church PCA,Nam Hyun Kang,2007,36,2,38,0,0,0,0,0,0,0,0,0,0,0,,3,1,0,0,21,5,,27,,,"$51,000 ",$0 ,$0 ,"$10,000 ","$61,000 ",$0 ,"$61,000 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,0%,"$1,694"
Austin,TX,Austin Grace Presbyterian Church,Byung Hak Choi,2023,12,,12,,,,,,0,,,,,0,,,1,,,,,,,,,"$33,500 ",,,,"$33,500 ",,"$33,500 ",,,,,,,,,,,,$0 ,,,,"$17,000 ",,"$17,000 ",,,,,,,,,$0 ,"$17,000 ",,,"$17,000 ",100%,"$2,792"
Mount Ulla,NC,Back Creek Presbyterian Church,,2024,254,,254,,1,,,,1,3,,,,3,,,2,7,7,96,59,,120,,,"$299,707 ","$101,830 ","$1,195 ","$43,244 ","$445,976 ",,"$445,976 ",,"$2,000 ",,,,,,,,,,"$2,000 ","$6,249 ",,,,,"$6,249 ",,"$50,732 ",,,,"$13,163 ",,,"$63,895 ","$72,144 ","$371,889 ",,"$444,033 ",16%,"$1,756"
Bailey,MS,Bailey Presbyterian Church,Eric Mabbott,2024,63,4,67,3,,,,,3,2,,1,,3,,,,5,4,25,30,30,50,,,"$251,227 ",,,"$1,000 ","$252,227 ",,"$252,227 ",,$496 ,$434,"$4,862 ","$8,310 ",$620 ,$620 ,$248 ,"$6,466 ",,,"$22,056 ",,,,,,"$1,798 ",,,"$3,342 ",,,"$14,597 ",,,"$17,939 ","$41,793 ","$148,242 ",,"$190,035 ",22%,"$4,004"
Clintwood,VA,Bartlick Presbyterian Church,,2024,23,2,25,0,0,1,3,0,4,0,0,0,0,0,,0,2,3,4,9,11,9,18,,,"$34,029 ",$0 ,$0 ,$0 ,"$34,029 ",$0 ,"$34,029 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,,,,,,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,255 ",$0 ,"$19,255 ",0%,"$1,480"
Flushing,NY,Barun Presbyterian Church,Hyochul Yu,2022,10,,10,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Webster,TX,Bay Area Presbyterian Church,Christopher D. Yates,2024,177,66,243,3,3,0,7,0,13,2,0,1,0,3,,,,3,3,94,77,53,189,,,"$733,746 ","$15,792 ","$464,374 ",$0 ,"$1,213,912 ","$88,242 ","$1,302,154 ",,$600 ,,,,,,,"$8,600 ",,,"$9,200 ",,,,,,$100 ,,"$6,106 ","$25,363 ","$43,711 ","$2,700 ","$4,700 ",,,"$82,580 ","$91,880 ","$647,344 ","$562,164 ","$1,301,388 ",7%,"$6,858"
Bonita Springs,FL,Bay Presbyterian Church,Patrick J. Womack,2024,150,1,151,,,,7,,7,2,3,,,5,,,,7,,98,25,18,149,,,"$734,879 ","$17,547 ","$30,000 ","$28,353 ","$810,779 ","$11,295 ","$822,074 ",,$612 ,$612,"$2,273 ","$6,223 ",$786 ,$874 ,$348 ,"$24,622 ",,,"$36,350 ",,,,,,"$6,000 ",,"$17,740 ","$3,200 ","$2,400 ","$19,500 ","$28,297 ",,,"$71,137 ","$113,487 ","$729,496 ","$30,000 ","$872,983 ",13%,"$5,405"
